,Accuracy,Precision,Recall,F1,TrainingTime,CV_Accuracy_Mean,CV_Accuracy_Std,CV_F1_Mean,CV_F1_Std,Train_Accuracy,Test_Accuracy,Gap
LogisticRegression,0.928,0.9278999606108012,0.928,0.9258962753006028,0.051750898361206,0.9264166666666668,0.0023950179771999,0.9241332038972596,0.0023621756969199,0.92675,0.928,-0.00125
SVM,0.949,0.9499045460326688,0.949,0.9476354272227332,5.632015705108643,0.9444166666666666,0.0033395774849189,0.9429379802518044,0.0034785145144695,0.9513333333333334,0.949,0.0023333333333334
DecisionTree,0.915,0.914963994362306,0.915,0.9149818714738446,0.1873047351837158,0.9061666666666668,0.0026273137950724,0.9061235975859524,0.002534924210846,1.0,0.915,0.0849999999999999
RandomForest,0.9546666666666668,0.95531088777797,0.9546666666666668,0.9536350537795388,2.219510555267334,0.9475833333333334,0.0023921166824012,0.9465355713643172,0.0024858243292177,1.0,0.9546666666666668,0.0453333333333333
