,Accuracy,Precision,Recall,F1,TrainingTime,CV_Accuracy_Mean,CV_Accuracy_Std,CV_F1_Mean,CV_F1_Std
LogisticRegression,0.928,0.9278999606108013,0.928,0.9258962753006029,0.051750898361206055,0.9264166666666668,0.002395017977199978,0.9241332038972597,0.0023621756969199274
SVM,0.949,0.9499045460326689,0.949,0.9476354272227332,5.632015705108643,0.9444166666666666,0.003339577484918983,0.9429379802518044,0.003478514514469525
DecisionTree,0.915,0.9149639943623059,0.915,0.9149818714738446,0.18730473518371582,0.9061666666666668,0.0026273137950724073,0.9061235975859525,0.0025349242108460594
RandomForest,0.9546666666666667,0.95531088777797,0.9546666666666667,0.9536350537795388,2.219510555267334,0.9475833333333334,0.0023921166824012086,0.9465355713643172,0.002485824329217798
